순위,책제목,저자,출판사,가격
799,세상 쉽고 맛있는 튼이 이유식  ,정주희,서사원,"19,800원"
800,무기가 되는 스토리 ,"도널드 밀러, 이지연",윌북,"13,320원"
801,이것이 취업을 위한 코딩 테스트다 with 파이썬 ㅣ 이것이 시리즈  ,나동빈,한빛미디어,"30,600원"
802,낭만 강아지 봉봉 1 ,"홍민정, 김무연",다산어린이,"10,800원"
803,우당탕탕 야옹이와 바다 끝 괴물 ㅣ 큰곰자리 57 ,"구도 노리코, 윤수정",책읽는곰,"10,800원"
804,기호 3번 안석뽕 ㅣ 창비아동문고 271  ,"진형민, 한지선",창비,"9,720원"
805,린치핀 ,"세스 고딘, 윤영삼",라이스메이커,"16,200원"
806,연인들 ㅣ 문학동네포에지 41  ,최승자,문학동네,"9,000원"
807,2022 선재국어 딱공! 핵심 필기노트 50 ㅣ 2022 선재국어  ,"이선재, 선재국어연구소",에스티유니타스,"13,950원"
808,확률적 사고의 힘 ,"다부치 나오야, 황선종",에프엔미디어,"14,220원"
809,동정의 형태 시즌 2 ,박노덕,곁(beside),"16,200원"
810,페르소나주 ,"실비 제르맹, 류재화",1984Books,"11,700원"
811,뭔말 과학 용어 200 1 ,"장성규(장풍), 김석",메가스터디북스,"14,400원"
812,"욥, 까닭을 묻다 ",김기현,두란노,"15,300원"
813,오십 미터 ㅣ 문학과지성 시인선 478 ,허연,문학과지성사,"8,100원"
814,귀엽다는 말 들은 적 없어!! 1 ,하루후지 나카바,대원씨아이(만화),"4,500원"
815,2022 김중규 OX 파이널 선행정학 ,김중규,카스파(주),"10,800원"
816,영혼을 위한 닭고기 수프 1 ㅣ 영혼을 위한 닭고기 수프 1 ,"잭 캔필드, 마크 빅터 한센, 류시화",푸른숲,"14,400원"
817,중학수학 개념사전 93 ,조안호,폴리버스,"15,120원"
818,2022 에듀윌 답만보는 운전면허 필기 1종.2종 공통 ,도로교통공단,에듀윌,"9,900원"
819,"중소기업 다니던 용수는 수익형 부동산으로 어떻게 월 7,000만원 벌게 됐을까? ",강용수,리더북스,"14,400원"
820,2023 ACL 강해준 경찰학 기출문제집 3.0 ,강해준,에이씨엘커뮤니케이션,"44,100원"
821,작고 단순한 삶에 진심입니다 ,"류하윤, 최현우",위즈덤하우스,"13,500원"
822,최소 저항의 법칙 ,"로버트 프리츠, 박은영",라이팅하우스,"19,800원"
823,나만의 사시코 자수  ,"이은정, 요시다 구미코",북스토리,"3,870원"
824,감으로 하는 투자 데이터로 하는 투자 ,"천영록, 이현열",길벗,"15,750원"
825,키스로 녹인 그다음에 ,마사키 마키,조은세상(북두),"5,400원"
826,절벽의 밤 ,"미치오 슈스케, 김은모",청미래,"11,700원"
827,삐뽀삐뽀 119 소아과 (개정12판)  ,하정훈,유니책방,"26,820원"
828,우리말 어감 사전 ㅣ 관점 있는 사전   ,안상순,유유,"15,300원"
829,이방인 ㅣ 민음사 세계문학전집 266 ,"알베르 카뮈, 김화영",민음사,"8,100원"
830,마법천자문 52 ㅣ 마법천자문 52 ,"유대영, 홍거북, 김창환",아울북,"10,800원"
831,센 강의 이름 모를 여인 ,"기욤 뮈소, 양영란",밝은세상,"14,400원"
832,해커스 토익 실전 1000제 2 RC 리딩 문제집 (Hackers TOEIC Reading) ㅣ 해커스 신토익  ,해커스어학연구소,해커스어학연구소(Hackers),"10,710원"
833,흔한남매 과학 탐험대 1 : 우주 ㅣ 흔한남매 과학 탐험대 1 ,"흔한남매, 이재국, 이현진, 김덕영, 흔한컴퍼니, 정현철, 김희목, 권경아, 최진수, 박준건",주니어김영사,"11,520원"
834,행성어 서점 ㅣ 마음산책 짧은 소설  ,"김초엽, 최인호",마음산책,"13,050원"
835,우리는 언제나 다시 만나 ㅣ 스콜라 창작 그림책 7  ,"윤여림, 안녕달",위즈덤하우스,"10,800원"
836,Do it! 점프 투 파이썬 ㅣ Do it! 시리즈  ,박응용,이지스퍼블리싱,"16,920원"
837,최소한의 선의  ,문유석,문학동네,"13,500원"
838,주술회전 2 ,"아쿠타미 게게, 이정운",서울미디어코믹스(서울문화사),"4,500원"
839,도쿄 리벤저스 20 ,와쿠이 켄,학산문화사(만화),"4,500원"
840,도쿄 리벤저스 14 ,와쿠이 켄,학산문화사(만화),"4,500원"
841,아파트 청약 이렇게 쉬웠어? ,김태훈(베니아),지혜로,"16,200원"
842,두드려 보아요! ㅣ 보아요 아기 그림책 10 ,안나 클라라 티돌름,사계절,"8,100원"
843,2022 이동기 영어 핵심문법 700제 3weeks ㅣ 2022 이동기 핵심문법  ,이동기,에스티유니타스,"18,000원"
844,우리에겐 절망할 권리가 없다 ,김누리,해냄,"14,850원"
845,포켓몬스터 썬&문 포켓몬 전국대도감 ,"가와시마 준지, Koji Hayashida",대원키즈,"8,550원"
846,아이다이로 화집 지박소년 하나코 군 ,"Aidairo, 장혜영",서울미디어코믹스(서울문화사),"16,200원"
847,꽃이 핀다 ㅣ 보림 창작 그림책   ,백지혜,보림,"10,800원"
848,2022 문동균 한국사 핵심기출지문총정리 ,문동균,에스티유니타스,"19,800원"
849,요즘 사는 맛 ,"김겨울, 김현민, 김혼비, 디에디트, 박서련, 박정민, 손현, 요조, 임진아, 천선란, 최민석, 핫펠트(예은)",위즈덤하우스,"14,400원"
850,2022 30일 완성 손진숙 영문법 900제 ,손진숙,원더북스,"27,000원"
851,2022 에듀윌 한국사능력검정시험 2주끝장 심화 ㅣ 2022 에듀윌 한국사 능력 검정시험  ,에듀윌 한국사교육연구소,에듀윌,"18,900원"
852,필립 코틀러 마켓 5.0 ,"필립 코틀러, 허마원 카타자야, 이완 세티아완, 이진원",더퀘스트,"16,650원"
853,움직임의 힘 ,"켈리 맥고니걸, 박미경",안드로메디안,"16,920원"
854,경제기사 궁금증 300문 300답 ㅣ 300문 300답  ,곽해선,혜다,"19,800원"
855,마인드헌터 (리커버 특별판) ,"존 더글러스, 마크 올셰이커, 이종인",비채,"13,500원"
856,이렇게 멋진 날 ㅣ 비룡소의 그림동화 248  ,"리처드 잭슨, 이수지",비룡소,"11,700원"
857,한여름 손잡기  ,권누리,봄날의책,"9,900원"
858,"아빠, 나한테 물어봐 ㅣ 비룡소의 그림동화 234 ","버나드 와버, 이수지",비룡소,"10,800원"
859,2022 해커스경찰 갓대환 형사법 기본서 1권 : 형법 (경찰공무원) ㅣ 2022 해커스경찰 갓대환 형사법 기본서 1 ,김대환,해커스경찰,"34,200원"
860,2022 오현준 교육학 단원별 기출 1133제 ,오현준,박문각,"26,100원"
861,햇볕 쬐기 ㅣ 창비시선 470  ,조온윤,창비,"8,100원"
862,지속의 순간들 ㅣ 제프 다이어 선집   ,"제프 다이어, 이정현",을유문화사,"19,800원"
863,"하나님, 저 잘 살고 있나요? ",전대진,넥서스CROSS,"10,800원"
864,전수환 공기업 경영학 FINAL 봉투모의고사 SE ,전수환,밀더북,"9,900원"
865,이세계 삼촌 6 ,"호톤도신데이루, 김민준",영상출판미디어(주),"7,200원"
866,드래곤 퀘스트 다이의 대모험 신장채록판 16 ,"산조 리쿠, 이나다 코지, 호리이 유지",대원씨아이(만화),"9,000원"
867,블랙 클로버 30 ,타바타 유키,대원씨아이(만화),"4,950원"
868,서른의 반격 ,손원평,은행나무,"11,250원"
869,8초 만에 통증 리셋 ,문교훈(문쌤),다산라이프,"15,300원"
870,에듀윌 토익 기출 VOCA ,에듀윌 어학연구소,에듀윌,"10,800원"
871,2022 신용한 지방자치론 최근 10년 단원별 기출문제집 ,"신용한, SK100수험연구소",메가스터디교육(공무원),"22,500원"
872,2022 신용한 지방자치론 - 전2권 ,신용한,메가스터디교육(공무원),"25,200원"
873,사일런트 위치 1 ,"이소라 마츠리, 후지미 난나, 이경인",영상출판미디어(주),"9,000원"
874,필로소피 유니버스 ,"수키 핀, 전혜란",알에이치코리아(RHK),"15,120원"
875,빵 좋아하는 악당들의 행성  ,곽재식,비채,"13,320원"
876,흔해빠진 직업으로 세계최강 8 ,"RoGa, 시라코메 료, 타카야Ki, 김장준",디앤씨미디어(주)(D&C미디어),"4,500원"
877,악덕 기사단의 노예가 착한 모험가 길드에 스카우트 되어 S랭크가 되었습니다 2 ,"지오, 유우야, 박정철",㈜소미미디어,"8,820원"
878,문해력 교과서 : 초등 국어 4학년 ㅣ 문해력 교과서  ,"이도영, 이형래, 이천희, 전인숙, 권은주, 김희동, 박주현, 우철하, 이정우, 전준희",창비교육,"10,800원"
879,악당 대공님의 귀하디귀한 여동생 1 (극세사 포스터 + 초판 한정 엽서 + 떡메모지 + 홀로그램 카드 3종 + 아트스티커 2종 + 미니L홀더 + 클리어 스탠드 + 박스 포함 한정판) ,"루나행, 이깜누, 감로, 에클레어",파인툰,"30,600원"
880,빨리 하고 싶은 두 사람 2 ,쿠사카 아키,학산문화사(만화),"5,400원"
881,2022 WIN 노동법 서브노트 ,손승주,법학사,"17,100원"
882,텐배거 1000% 수익 바이블 ,강병욱,21세기북스,"16,200원"
883,스물다섯 스물하나 OST 피아노 연주곡집 ,나정현,그래서음악(somusic),"9,000원"
884,호밀밭의 파수꾼 ㅣ 민음사 세계문학전집 47 ,"제롬 데이비드 샐린저, 공경희",민음사,"7,200원"
885,달과 6펜스 ㅣ 민음사 세계문학전집 38 ,"서머싯 몸, 송무",민음사,"9,000원"
886,해리 포터와 비밀의 방 (미나리마 에디션) ㅣ 해리 포터 미나리마 에디션 시리즈  ,"J.K. 롤링, 미나리마, 강동혁",문학수첩,"29,700원"
887,세금 내는 아이들 ㅣ 아이들 시리즈  ,"옥효진, 김미연",한국경제신문,"12,600원"
888,대한민국 재건축 재개발 지도 ,정지영,다산북스,"17,100원"
889,읽으면서 바로 써먹는 어린이 속담 ㅣ 맛있는 공부 17 ,한날,파란정원,"10,800원"
890,10대를 위한 정의란 무엇인가  ,"마이클 샌델, 신현주, 조혜진, 김선욱",미래엔아이세움,"10,800원"
891,나는 주식 대신 달러를 산다 ,박성현,알에이치코리아(RHK),"14,400원"
892,주술회전 4 ,"아쿠타미 게게, 이정운",서울미디어코믹스(서울문화사),"4,500원"
893,독고솜에게 반하면 ㅣ 문학동네 청소년 46 ,허진희,문학동네,"10,350원"
894,주술회전 3 ,"아쿠타미 게게, 이정운",서울미디어코믹스(서울문화사),"4,500원"
895,하루를 48시간으로 사는 마법 ,이재은,비즈니스북스,"13,500원"
896,투자는 심리게임이다 ㅣ 코스톨라니 투자총서 2 ,"앙드레 코스톨라니, 정진상",미래의창,"10,800원"
897,쥐 The Complete Maus 합본  ,"아트 슈피겔만, 권희종, 권희섭",아름드리미디어,"16,200원"
898,여름 언덕에서 배운 것 (알라딘 리커버 한정판) ㅣ 창비시선 446 ,안희연,창비,"8,100원"
899,전쟁은 여자의 얼굴을 하지 않았다  ,"스베틀라나 알렉시예비치, 박은정",문학동네,"14,400원"
900,체인소 맨 2 ,후지모토 타츠키,학산문화사(만화),"4,500원"
901,똑똑하게 생존하기 ,"칼 벅스트롬, 제빈 웨스트, 박선령",안드로메디안,"17,820원"
902,체인소 맨 4 ,후지모토 타츠키,학산문화사(만화),"4,500원"
903,안아 줘! (리커버) ㅣ 웅진 세계그림책 29 ,제즈 앨버로우,웅진주니어,"9,900원"
904,스타트 위드 와이 ,"사이먼 시넥, 윤혜리",세계사,"16,020원"
905,2022 전한길 한국사 3.0 기출문제집 - 전2권 ,전한길,전한길한국사,"36,900원"
906,2022 해커스 한국사 능력 검정시험 2주 합격 심화(1.2.3급) ,해커스 한국사연구소,챔프스터디,"18,810원"
907,2022 김중규 5.0 기출문제 선행정학 - 전3권 ,김중규,카스파(주),"37,800원"
908,그림책 페어런팅  ,김세실,한길사,"15,300원"
909,2022 권규호 공무원 국어 필수문학작품 분석노트 ,권규호,권규호언어연구실,"7,200원"
910,2022 전효진 한권 행정법총론 ,전효진,연승,"21,600원"
911,딸에게 보내는 굿나잇 키스 ,이어령,열림원,"15,300원"
912,우리 역사에 숨어 있는 인권 존중의 씨앗 ,"김영주, 김은영, 한용욱",북멘토(도서출판),"12,150원"
913,탐정은 이미 죽었다 6 ,"니고 쥬우, 우미보즈, 김민준",영상출판미디어(주),"6,750원"
914,벚꽃 팝콘 ㅣ 웅진 우리그림책 58 ,백유연,웅진주니어,"11,700원"
915,2022 이동기 영어 실전 문법 300제 ,이동기,에스티유니타스,"15,300원"
916,엉뚱하지만 과학입니다 1 ㅣ 엉뚱하지만 과학입니다 1 ,"원종우, 최향숙, 김성연, 와이즈만 영재교육연구소",와이즈만BOOKs(와이즈만북스),"11,700원"
917,메타버스 2 ㅣ 메타버스 2  ,김상균,플랜비디자인,"16,200원"
918,2022 전한길 한국사 실전형 봉투 모의고사 ,전한길,전한길한국사,"10,800원"
919,2022 객관식 경영학 2000제 ,최중락,피데스,"38,950원"
920,거의 모든 숫자 표현의 영어 ,"조나단 데이비스, 유현정",사람in,"13,500원"
921,인생의 모든 문제에는 답이 있다 ,"웨인 다이어, 이재석",불광출판사,"16,200원"
922,똑게육아 ,로리(김준희),북로스트,"19,980원"
923,드래곤 퀘스트 다이의 대모험 신장채록판 17 ,"산조 리쿠, 이나다 코지, 호리이 유지",대원씨아이(만화),"9,000원"
924,그랜드 캉티뉴쓰 호텔 ,"리보칭, 허유영",비채,"14,220원"
925,공부란 무엇인가 ㅣ 아우름 51 ,한근태,샘터사,"10,800원"
926,암의 역습 ,"곤도 마코토, 배영진",전나무숲,"13,500원"
927,만약 우리의 시 속에 아침이 오지 않는다면 ㅣ 문학과지성 시인선 565  ,김중일,문학과지성사,"8,100원"
928,지.디펜드 G.Defend 65 ,"모리모토 슈, 박소현",서울미디어코믹스(서울문화사),"4,500원"
929,2022 최영희행정학 지방직 대비 최종점검 ,최영희,에이치북스,"16,200원"
930,멈추고 호흡하고 선택하라 ,"나즈 베헤시티, 김보람",흐름출판,"16,200원"
931,소고기를 위한 변론 ,"니콜렛 한 니먼, 이재경",갈매나무,"17,820원"
932,"지금, 사랑을 하고 있어요 2 ",하타 아유코,학산문화사(만화),"5,400원"
933,뉴필로소퍼 2022 18호 ㅣ 뉴필로소퍼 NewPhilosopher 18  ,뉴필로소퍼 편집부,바다출판사,"13,500원"
934,페스트 ㅣ 민음사 세계문학전집 267 ,"알베르 카뮈, 김화영",민음사,"11,700원"
935,총 균 쇠 (양장) ,"재레드 다이아몬드, 김진준",문학사상사,"31,500원"
936,이상한 과자 가게 전천당 11 ㅣ 이상한 과자 가게 전천당 11 ,"히로시마 레이코, 쟈쟈, 김정화",길벗스쿨,"10,800원"
937,혼자 공부하는 파이썬 ㅣ 혼자 공부하는 시리즈  ,윤인성,한빛미디어,"16,200원"
938,귀멸의 칼날 18 ,고토게 코요하루,학산문화사(만화),"4,500원"
939,귀멸의 칼날 17 ,고토게 코요하루,학산문화사(만화),"4,500원"
940,귀멸의 칼날 16 ,고토게 코요하루,학산문화사(만화),"4,500원"
941,세상에서 제일 재밌는 종이접기 ㅣ 세상에서 제일 시리즈 6 ,네모아저씨 이원표,슬로래빗,"12,600원"
942,악의 마음을 읽는 자들  ,"권일용, 고나무",알마,"12,960원"
943,경제금융용어 700선 ,한국은행,한국은행,"7,760원"
944,자유론 ㅣ 고전의세계 리커버   ,"존 스튜어트 밀, 서병훈",책세상,"8,010원"
945,가가미 다카히로가 알려주는 손 그리는 법 ,"가가미 다카히로, 박현정",이아소,"19,800원"
946,도쿄 리벤저스 12 ,와쿠이 켄,학산문화사(만화),"4,500원"
947,새는 날아가면서 뒤돌아보지 않는다 ,류시화,더숲,"12,600원"
948,인간의 130가지 감정 표현법 ㅣ 인간의 감정 표현법  ,"안젤라 애커만, 베카 푸글리시, 서준환",인피니티북스,"18,000원"
949,체인소 맨 7 ,후지모토 타츠키,학산문화사(만화),"4,500원"
950,체인소 맨 6 ,후지모토 타츠키,학산문화사(만화),"4,500원"
951,흔한남매 불꽃 튀는 우리말 4 ㅣ 흔한남매 불꽃 튀는 우리말 4 ,"한은호, 흔한남매, 유희석, 흔한컴퍼니",다산어린이,"11,700원"
952,열혈강호 84 ,"전극진, 양재현",대원씨아이(만화),"4,050원"
953,사람은 무엇으로 사는가 (러시아 원전 번역본) ㅣ 현대지성 클래식 34 ,"레프 니콜라예비치 톨스토이, 홍대화",현대지성,"6,930원"
954,문학을 열다 - 전6권 ,에토프,스푼북,"67,500원"
955,모든 주식을 소유하라 ,"존 C. 보글, 이은주",비즈니스맵,"13,050원"
956,2022 에듀윌 산업안전기사 필기 한권끝장 (이론편 + 기출문제편) ,최창률,에듀윌,"27,900원"
957,NFT는 처음입니다 ,김일동,세종(세종서적),"15,300원"
958,세계 미스터리 걸작선 2 : 모래시계 외 ㅣ 세계 미스터리 걸작선 2  ,"아서 모리슨, 헤스케스 프리처드, E. P. 버틀러, 로버트 바, M. M. 보드킨, 로드 던세이니, 바로네스 오르치, K. O. 프리처드, 이정아, 박광규",코너스톤,"2,970원"
959,50대에 도전해서 부자 되는 법 ,서미숙,유노북스,"13,950원"
960,우리 모두 가끔은 미칠 때가 있지 ,정지음,빅피시,"13,320원"
961,2022 해커스공무원 영어 고득점 문법 777 ㅣ 2022 해커스공무원 영어 고득점  ,해커스 공무원시험연구소,해커스공무원,"20,700원"
962,2022 신용한 행정학 비교불가 행정학 기출지문OX - 전3권 ,신용한,메가스터디교육(공무원),"34,200원"
963,일러스트 향상 강좌 ㅣ 쉽게 배우는 만화 시리즈 69 ,"다테나오토, 김재훈",한즈미디어(한스미디어),"16,200원"
964,아침은 생각한다 ㅣ 창비시선 471  ,문태준,창비,"8,100원"
965,혼공하는 아이들 ㅣ 아이들 시리즈  ,"이상학(해피이선생), 이갑규",한국경제신문,"13,500원"
966,몰입의 즐거움 ,"미하이 칙센트미하이, 이희재",해냄,"16,020원"
967,2022 전한길 한국사 4.0 실전동형 모의고사 시즌 2 ㅣ 2022 전한길 한국사 시리즈  ,전한길,전한길한국사,"15,300원"
968,2022 해커스 GSAT 삼성직무적성검사 실전모의고사 7회분 (수리논리/추리) ,해커스 취업교육연구소,챔프스터디,"16,110원"
969,레드 룰렛 ,"데즈먼드 슘, 홍석윤",알파미디어,"15,120원"
970,월간최신 취업에 강한 에듀윌 시사상식 2022.4 ,에듀윌 상식연구소,에듀윌,"9,000원"
971,보이는 여고생 6 ,"이즈미 토모키, JYH",영상출판미디어(주),"6,750원"
972,2022 김건호 행정법총론 최근 5개년 기출·예상 행정법 판례 ,김건호,메가스터디교육(공무원),"11,250원"
973,너 누구니 ㅣ 한국인 이야기  ,이어령,파람북,"16,200원"
974,질투는 여우빛 ,스에히로 마치,㈜에이블웍스C&C,"5,400원"
975,아들러 성격 상담소 ,"기시미 이치로, 이영미",생각의날개,"14,220원"
976,아파트 담장 넘어 도망친 도시 생활자  ,한은화,동아시아,"14,850원"
977,유녀전기 11 ,"토죠 치카, 카를로 젠, JYH",영상출판미디어(주),"4,950원"
978,선창은 언제나 나의 몫이었다 ,양경인,은행나무,"10,800원"
979,소설 읽는 신자에게 생기는 일 ,"캐런 스왈로우 프라이어, 홍종락",무근검(남포교회출판부),"18,900원"
980,어메이징 브루클린 ,"제임스 맥브라이드, 민지현",미래지향,"14,400원"
981,꼬마 기관차 ,"입 스팡 올센, 정영은",진선아이,"10,800원"
982,숫자에 속지 않고 숫자 읽는 법 ,"톰 치버스, 데이비드 치버스, 김성훈",김영사,"15,120원"
983,"집으로 가는, 길 ","홍은전, 홍세미, 이호연, 이정하, 박희정, 강곤, 정택용, 장애와인권발바닥행동, 인권기록센터 사이",오월의봄,"16,200원"
984,2022 WIN 사례연습 노동법 ,손승주,법학사,"19,000원"
985,어쩌다 클래식 ,"지이, 태복, 최은규",더퀘스트,"15,300원"
986,기분을 관리하면 인생이 관리된다 ,김다슬,클라우디아,"15,840원"
987,SCP 재단 : 확보하고 격리하고 보호하라 4 ㅣ SCP 재단 그래픽 노블  ,Team. StoryG,oldstairs(올드스테어즈),"10,800원"
988,지도자 본색 ,김덕수,위즈덤하우스,"14,400원"
989,그냥 하지 말라  ,송길영,북스톤,"15,300원"
990,NFT 레볼루션 ,"성소라, 롤프 회퍼, 스콧 맥러플린",더퀘스트,"16,200원"
991,종의 기원 ,정유정,은행나무,"11,700원"
992,소원 떡집 ㅣ 난 책읽기가 좋아  ,"김리리, 이승현",비룡소,"9,900원"
993,귀멸의 칼날 23 ,고토게 코요하루,학산문화사(만화),"4,500원"
994,해리 포터와 마법사의 돌 (미나리마 에디션) ㅣ 해리 포터 미나리마 에디션 시리즈  ,"J.K. 롤링, 미나리마, 강동혁",문학수첩,"29,700원"
995,허상의 어릿광대 ㅣ 탐정 갈릴레오 시리즈 7 ,"히가시노 게이고, 김난주",재인,"16,920원"
996,아직 오지 않은 날들을 위하여 ,"파스칼 브뤼크네르, 이세진",인플루엔셜(주),"14,400원"
997,해커스 토익 실전 1000제 2 LC 리스닝 문제집 (Hackers TOEIC Listening) ㅣ 해커스 신토익  ,해커스어학연구소,해커스어학연구소(Hackers),"10,710원"
998,작은 것들을 위한 시 ,나태주,열림원,"15,300원"
999,므레모사 ㅣ 현대문학 핀 시리즈 소설선 38  ,김초엽,현대문학,"12,600원"
1000,흔한남매 불꽃 튀는 우리말 1 ㅣ 흔한남매 불꽃 튀는 우리말 1 ,"한은호, 흔한남매, 유희석, 흔한컴퍼니",다산어린이,"11,700원"
